month-year,rsi-3-SPXL->-23-1-ERY
2015-03,[-8.74496307e+01  4.28571429e-01 -7.76956334e+02  8.87445887e-01]
2015-04,[-8.42604211e+01  6.66666667e-01 -7.13805991e+02  8.99082622e-01]
2015-05,[5.58093313e+02 4.28571429e-01 5.58093313e+08 1.11449867e+00]
2015-06,[7.99827632e+02 4.28571429e-01 7.99827632e+08 1.13474124e+00]
2015-07,[3.00925694e+02 5.00000000e-01 6.57201582e+03 1.08729917e+00]
2015-08,[-6.96137180e+01  6.19047619e-01 -1.05096508e+03  9.33762102e-01]
2015-09,[4.93903468e+02 6.19047619e-01 1.42425633e+04 1.10793724e+00]
2015-10,[ -98.67552917    0.82608696 -299.1272973     0.76148779]
2015-11,[2.87197209e+02 6.31578947e-01 2.00337565e+03 1.07301228e+00]
2015-12,[7.87843824e+02 6.81818182e-01 7.87843824e+08 1.14066998e+00]
2016-01,[1.84991039e+02 4.00000000e-01 1.84991039e+08 1.05906413e+00]
2016-02,[-8.41864783e+01  6.31578947e-01 -6.38180421e+02  9.08459558e-01]
2016-03,[ -91.15277443    0.59090909 -502.62296421    0.86401221]
2016-04,[ -50.37878093    0.68181818 -574.28237201    0.95864247]
2016-05,[  -7.34967331    0.5        -479.43574447    0.99582585]
2016-06,[1.35693745e+02 3.18181818e-01 1.35693745e+08 1.05303522e+00]
2016-07,[-5.65880732e+01  5.23809524e-01 -6.87140889e+02  9.53125547e-01]
2016-08,[-7.09923442e+01  5.45454545e-01 -5.52298745e+02  9.28118653e-01]
2016-09,[1.52946717e+02 6.66666667e-01 2.16077915e+03 1.05484336e+00]
2016-10,[-5.72241343e+01  6.19047619e-01 -6.47536257e+02  9.52316483e-01]
2016-11,[-3.98672173e+01  3.80952381e-01 -6.16043429e+02  9.71161227e-01]
2016-12,[-6.18943633e+01  4.54545455e-01 -8.39994931e+02  9.43505760e-01]
2017-01,[1.03475294e+03 8.94736842e-01 1.03475294e+09 1.13478261e+00]
2017-02,[2.00555892e+01 3.68421053e-01 5.52056482e+02 1.00956023e+00]
2017-03,[1.94249518e+01 6.08695652e-01 1.92432345e+03 1.01124886e+00]
