branch,back_cagr,back_days_in_market,back_calmar,forward_cagr,forward_days_in_market,forward_calmar
rsi-9-SPXL-<-75-1-TQQQ,654.827071901898,0.31883029393882917,654627819.2561477,21.233193410952214,0.5180125349305711,14321725.417420495
rsi-8-SPXL-<-75-1-TQQQ,654.9878452666135,0.3165987166949548,654608590.9359181,14.777681197507238,0.5002723151152524,9092772.059917035
rsi-5-SPXL->-19-1-TQQQ,618.261073295506,0.31171847927231927,617977722.4781907,26.661771688094436,0.5836035021077667,17535912.293791626
rsi-5-SPXL->-17-1-TQQQ,618.2618948261199,0.3121432881083431,617977722.4666358,26.6490865010073,0.5901102168524677,17535912.2899733
rsi-5-SPXL->-18-1-TQQQ,618.2618948261199,0.3121432881083431,617977722.4666358,26.650187322205433,0.5885912679650979,17535912.24716262
rsi-5-SPXL->-25-1-TQQQ,618.2521248370973,0.30999901493603244,617977722.4144354,22.19207524232467,0.5563514652603481,13352675.48045764
rsi-5-SPXL->-20-1-TQQQ,618.2521248370973,0.30999901493603244,617977722.4144354,24.82517962953489,0.5735754075571009,15698574.724045316
rsi-5-SPXL->-21-1-TQQQ,618.2521248370973,0.30999901493603244,617977722.4144354,24.82517962953489,0.5735754075571009,15698574.724045316
rsi-5-SPXL->-22-1-TQQQ,618.2521248370973,0.30999901493603244,617977722.4144354,24.687367333531284,0.5714437008799397,15698572.96916821
rsi-5-SPXL->-24-1-TQQQ,618.2521248370973,0.30999901493603244,617977722.4144354,22.13258478148675,0.5599693253375383,13305828.775406234
rsi-5-SPXL->-23-1-TQQQ,618.2521248370973,0.30999901493603244,617977722.4144354,22.422892793687943,0.5649603707436035,13442416.270699035
rsi-5-SPXL->-7-1-TQQQ,618.0739930116309,0.313127055939135,617977719.5089207,28.02439121285495,0.6205935547936795,17678188.93783804
rsi-5-SPXL->-8-1-TQQQ,618.0739930116309,0.313127055939135,617977719.5089207,27.92576630284458,0.6199048495595197,17678186.460506015
rsi-5-SPXL->-6-1-TQQQ,618.0739930116309,0.313127055939135,617977719.5089207,28.027004143972807,0.6213511305512553,17678188.93662895
rsi-5-SPXL->-5-1-TQQQ,618.0739930116309,0.313127055939135,617977719.5089207,28.02875433303864,0.6228662820664067,17678188.95431036
rsi-5-SPXL->-4-1-TQQQ,618.0739930116309,0.313127055939135,617977719.5089207,28.030777746852145,0.623663730232276,17678188.964611378
rsi-5-SPXL->-9-1-TQQQ,618.0739930116309,0.313127055939135,617977719.5089207,27.702645905923088,0.6148715977871376,17616598.007898293
rsi-5-SPXL->-10-1-TQQQ,618.0739930116309,0.313127055939135,617977719.5089207,27.751971503734218,0.6120051821372811,17670075.26711879
rsi-5-SPXL->-3-1-TQQQ,618.0739930116309,0.313127055939135,617977719.5089207,28.030777746852145,0.623663730232276,17678188.964611378
rsi-5-SPXL->-2-1-TQQQ,618.0739930116309,0.313127055939135,617977719.5089207,28.030777746852145,0.623663730232276,17678188.964611378
rsi-5-SPXL->-11-1-TQQQ,618.0739930116309,0.313127055939135,617977719.5089207,27.751971503734218,0.6120051821372811,17670075.26711879
rsi-5-SPXL->-12-1-TQQQ,618.0739930116309,0.313127055939135,617977719.5089207,27.75074543999807,0.6077028419653756,17670075.245556746
rsi-5-SPXL->-1-1-TQQQ,618.0739930116309,0.313127055939135,617977719.5089207,28.030777746852145,0.623663730232276,17678188.964611378
rsi-5-SPXL->-15-1-TQQQ,618.0374705957365,0.312635172023739,617977719.3474532,27.550782539437805,0.5996449006694481,17535926.184426583
rsi-5-SPXL->-13-1-TQQQ,618.0374705957365,0.312635172023739,617977719.3474532,27.573885160496204,0.6032884793130269,17535927.253687944
rsi-5-SPXL->-16-1-TQQQ,618.0374705957365,0.312635172023739,617977719.3474532,27.551095061479813,0.5960373970619445,17535926.152684327
rsi-5-SPXL->-14-1-TQQQ,618.0374705957365,0.312635172023739,617977719.3474532,27.573885160496204,0.6032884793130269,17535927.253687944
rsi-5-SPXL->-27-1-TQQQ,618.0825670451226,0.30604621431307205,617891881.3428272,21.57453361025764,0.5416382689265984,13118580.401852386
rsi-5-SPXL->-26-1-TQQQ,618.0825670451226,0.30604621431307205,617891881.3428272,21.563837014760804,0.5438060506398347,13118580.324074538
rsi-5-SPXL->-29-1-TQQQ,618.0679794126622,0.3051295215616523,617891881.2719151,22.201300012191933,0.5236364657001229,13855712.600834604
rsi-5-SPXL->-28-1-TQQQ,618.0683931284336,0.3055543303976761,617891881.2577837,21.57273884917157,0.5329411533384903,13128151.437289957
rsi-11-SPXL-<-95-1-TQQQ,600.1599006127423,0.3278476426373088,600086660.6787063,29.857133269936003,0.6352767924122198,19482756.700040076
rsi-11-SPXL-<-90-1-TQQQ,600.1599006127423,0.3278476426373088,600086660.6787063,34.04022242394548,0.6236469947776375,21234825.51865892
rsi-11-SPXL-<-99-1-TQQQ,600.1599006127423,0.3278476426373088,600086660.6787063,29.82351446352917,0.6359654976463797,19482756.237781487
rsi-11-SPXL-<-94-1-TQQQ,600.1599006127423,0.3278476426373088,600086660.6787063,29.733232478266835,0.6330729356629086,19417899.338568073
rsi-11-SPXL-<-87-1-TQQQ,600.1599006127423,0.3278476426373088,600086660.6787063,51.81420086436747,0.6134578646280332,38929770.832084194
rsi-11-SPXL-<-86-1-TQQQ,600.1599006127423,0.3278476426373088,600086660.6787063,51.78007771272227,0.6097782109483795,38929623.55090022
rsi-11-SPXL-<-93-1-TQQQ,600.1599006127423,0.3278476426373088,600086660.6787063,30.0315330748999,0.6323514349414079,19716199.935201135
