branch,back_cagr,back_days_in_market,back_calmar,back_gross_return_percent,forward_cagr,forward_days_in_market,forward_calmar,forward_gross_return_percent
rsi-8-SPXL-<-75-1-TQQQ,97829.0318008574,0.3993088689546613,97838808075.70499,166.66666666666666,24270.896836818065,0.1228527746997835,24194934009.95845,392.9669642857138
rsi-9-SPXL-<-75-1-TQQQ,97827.62335015317,0.3999490738202182,97838808074.29652,166.66666666666666,24249.513631675443,0.1273930756686559,24216802290.451466,212.0318367346935
rsi-5-SPXL->-29-1-TQQQ,92572.50725053156,0.3972654315742593,92580922864.09868,40.625,14427.897809952101,0.10352226321497326,14370092984.545317,-30.564861735519177
rsi-5-SPXL->-28-1-TQQQ,92572.50725053156,0.3972654315742593,92580922864.09868,40.625,14428.003208970025,0.10460451429722434,14370092980.945194,-25.223697253636036
rsi-5-SPXL->-27-1-TQQQ,92572.50725053156,0.3972654315742593,92580922864.09868,40.625,14428.003208970025,0.10460451429722434,14370092980.945194,-25.223697253636036
rsi-5-SPXL->-26-1-TQQQ,92572.50725053156,0.3972654315742593,92580922864.09868,40.625,14428.003208970025,0.10460451429722434,14370092980.945194,-25.223697253636036
rsi-5-SPXL->-24-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14476.96729744903,0.11017037700594419,14391962037.748613,76.19873046874967
rsi-5-SPXL->-20-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14476.96729744903,0.11017037700594419,14391962037.748613,76.19873046874967
rsi-5-SPXL->-16-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14422.124260394801,0.11255729668609694,14391961254.758245,83.54034423828098
rsi-5-SPXL->-17-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14479.299004802031,0.11130416385401676,14391962049.40715,120.24841308593719
rsi-5-SPXL->-19-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14479.299004802031,0.11130416385401676,14391962049.40715,120.24841308593719
rsi-5-SPXL->-23-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14476.96729744903,0.11017037700594419,14391962037.748613,76.19873046874967
rsi-5-SPXL->-21-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14476.96729744903,0.11017037700594419,14391962037.748613,76.19873046874967
rsi-5-SPXL->-22-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14476.96729744903,0.11017037700594419,14391962037.748613,76.19873046874967
rsi-5-SPXL->-14-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14422.124260394801,0.11255729668609694,14391961254.758245,83.54034423828098
rsi-5-SPXL->-25-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14476.96729744903,0.11017037700594419,14391962037.748613,76.19873046874967
rsi-5-SPXL->-15-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14422.124260394801,0.11255729668609694,14391961254.758245,83.54034423828098
rsi-5-SPXL->-18-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14479.299004802031,0.11130416385401676,14391962049.40715,120.24841308593719
rsi-5-SPXL->-13-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14422.124260394801,0.11255729668609694,14391961254.758245,83.54034423828098
rsi-5-SPXL->-6-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14431.428780634564,0.11381042951817714,14391961295.89402,101.8943786621091
rsi-5-SPXL->-1-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14431.428780634564,0.11381042951817714,14391961295.89402,101.8943786621091
rsi-5-SPXL->-12-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14431.428780634564,0.11381042951817714,14391961295.89402,101.8943786621091
rsi-5-SPXL->-3-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14431.428780634564,0.11381042951817714,14391961295.89402,101.8943786621091
rsi-5-SPXL->-4-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14431.428780634564,0.11381042951817714,14391961295.89402,101.8943786621091
rsi-5-SPXL->-5-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14431.428780634564,0.11381042951817714,14391961295.89402,101.8943786621091
rsi-5-SPXL->-2-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14431.428780634564,0.11381042951817714,14391961295.89402,101.8943786621091
rsi-5-SPXL->-7-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14431.428780634564,0.11381042951817714,14391961295.89402,101.8943786621091
rsi-5-SPXL->-9-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14431.428780634564,0.11381042951817714,14391961295.89402,101.8943786621091
rsi-5-SPXL->-10-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14431.428780634564,0.11381042951817714,14391961295.89402,101.8943786621091
rsi-5-SPXL->-11-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14431.428780634564,0.11381042951817714,14391961295.89402,101.8943786621091
rsi-5-SPXL->-8-1-TQQQ,92571.13941953907,0.39921918306873344,92580922857.57576,66.66666666666666,14431.428780634564,0.11381042951817714,14391961295.89402,101.8943786621091
