branch,back_period_returns,forward_period_returns
rsi-2-SPXL-<-26-1-SPXL,1717.8162935075648,5.2066090362822415
rsi-2-SPXL-<-27-1-SPXL,1717.8162935075648,5.2066090362822415
rsi-2-SPXL-<-28-1-SPXL,1717.8162935075648,5.2066090362822415
rsi-2-SPXL-<-29-1-SPXL,1717.8162935075648,5.2066090362822415
rsi-2-SPXL-<-21-1-SPXL,1714.893180132339,5.591295691086624
rsi-2-SPXL-<-22-1-SPXL,1714.893180132339,5.670046334623057
rsi-2-SPXL-<-23-1-SPXL,1714.893180132339,5.419159328666286
rsi-2-SPXL-<-24-1-SPXL,1714.893180132339,5.419159328666286
rsi-2-SPXL-<-25-1-SPXL,1714.893180132339,5.419159328666286
rsi-2-SPXL-<-1-1-SPXL,1633.231600126038,4.636423382541915
rsi-2-SPXL-<-2-1-SPXL,1633.231600126038,4.636423382541915
rsi-2-SPXL-<-3-1-SPXL,1633.231600126038,4.636423382541915
rsi-2-SPXL-<-4-1-SPXL,1633.231600126038,4.636423382541915
rsi-2-SPXL-<-5-1-SPXL,1633.231600126038,4.636423382541915
rsi-2-SPXL-<-6-1-SPXL,1633.231600126038,4.636423382541915
rsi-2-SPXL-<-7-1-SPXL,1633.231600126038,4.636423382541915
rsi-2-SPXL-<-8-1-SPXL,1633.231600126038,4.636423382541915
rsi-2-SPXL-<-9-1-SPXL,1633.231600126038,4.541977721045689
rsi-2-SPXL-<-10-1-SPXL,1633.231600126038,4.541977721045689
rsi-2-SPXL-<-11-1-SPXL,1633.231600126038,4.819486237301962
rsi-2-SPXL-<-12-1-SPXL,1633.231600126038,4.9736735175355715
rsi-2-SPXL-<-13-1-SPXL,1633.231600126038,4.9736735175355715
rsi-2-SPXL-<-14-1-SPXL,1633.231600126038,4.9736735175355715
rsi-2-SPXL-<-15-1-SPXL,1633.231600126038,5.054066947237117
rsi-2-SPXL-<-16-1-SPXL,1633.231600126038,5.054066947237117
rsi-2-SPXL-<-17-1-SPXL,1633.231600126038,5.115630524812393
rsi-2-SPXL-<-18-1-SPXL,1633.231600126038,5.115630524812393
rsi-2-SPXL-<-19-1-SPXL,1633.231600126038,4.670848604650236
rsi-2-SPXL-<-20-1-SPXL,1633.231600126038,4.670848604650236
rsi-2-SPXL-<-76-1-SPXL,1513.909550099821,4.210912108355138
rsi-2-SPXL-<-77-1-SPXL,1513.909550099821,4.210912108355138
rsi-2-SPXL-<-78-1-SPXL,1513.909550099821,4.114109531151571
rsi-2-SPXL-<-79-1-SPXL,1513.909550099821,4.114109531151571
rsi-2-SPXL-<-80-1-SPXL,1513.909550099821,4.114109531151571
rsi-2-SPXL-<-81-1-SPXL,1513.909550099821,4.17842926847675
rsi-2-SPXL-<-82-1-SPXL,1513.909550099821,4.17842926847675
rsi-2-SPXL-<-83-1-SPXL,1513.909550099821,4.17842926847675
rsi-2-SPXL-<-84-1-SPXL,1513.909550099821,3.927805618927048
rsi-2-SPXL-<-85-1-SPXL,1513.909550099821,3.927805618927048
rsi-2-SPXL-<-86-1-SPXL,1513.909550099821,3.586955608379539
rsi-2-SPXL-<-87-1-SPXL,1513.909550099821,3.586955608379539
rsi-2-SPXL-<-88-1-SPXL,1513.909550099821,3.4541054006617795
rsi-2-SPXL-<-89-1-SPXL,1513.909550099821,3.3159411846353093
rsi-2-SPXL-<-90-1-SPXL,1513.909550099821,3.3159411846353093
rsi-2-SPXL-<-91-1-SPXL,1513.909550099821,3.3159411846353093
rsi-2-SPXL-<-92-1-SPXL,1513.909550099821,3.3159411846353093
rsi-2-SPXL-<-93-1-SPXL,1513.909550099821,3.3159411846353093
rsi-2-SPXL-<-94-1-SPXL,1513.909550099821,3.3159411846353093
rsi-2-SPXL-<-95-1-SPXL,1513.909550099821,3.3159411846353093
rsi-2-SPXL-<-96-1-SPXL,1513.909550099821,3.3159411846353093
rsi-2-SPXL-<-97-1-SPXL,1513.909550099821,3.3159411846353093
rsi-2-SPXL-<-98-1-SPXL,1513.909550099821,3.3159411846353093
rsi-2-SPXL-<-99-1-SPXL,1513.909550099821,3.3159411846353093
rsi-2-SPXL-<-75-1-SPXL,1479.5025148702794,4.691152214976651
rsi-4-SPXL-<-75-1-SPXL,723.6876960423571,4.081904287125743
rsi-4-SPXL-<-81-1-SPXL,655.7551971492142,5.0775326244620675
rsi-4-SPXL-<-82-1-SPXL,655.7551971492142,4.999943096570421
rsi-4-SPXL-<-83-1-SPXL,655.7551971492142,4.999943096570421
rsi-4-SPXL-<-76-1-SPXL,654.5155843001609,4.521162099856327
rsi-4-SPXL-<-77-1-SPXL,654.5155843001609,4.9303312799907815
rsi-4-SPXL-<-78-1-SPXL,654.5155843001609,4.981170239459172
rsi-4-SPXL-<-79-1-SPXL,654.5155843001609,4.981170239459172
rsi-4-SPXL-<-80-1-SPXL,654.5155843001609,4.981170239459172
rsi-4-SPXL-<-84-1-SPXL,628.4320639346637,3.9191763763892884
rsi-4-SPXL-<-85-1-SPXL,628.4320639346637,4.025100062237646
rsi-4-SPXL-<-86-1-SPXL,573.7857975055624,4.692448542891225
rsi-4-SPXL-<-87-1-SPXL,573.7857975055624,4.584576162594876
rsi-4-SPXL-<-88-1-SPXL,573.7857975055624,5.128771364430291
rsi-4-SPXL-<-89-1-SPXL,573.7857975055624,4.715728383474007
rsi-4-SPXL-<-90-1-SPXL,573.7857975055624,4.830746148924593
rsi-4-SPXL-<-91-1-SPXL,573.7857975055624,4.553987653872142
rsi-4-SPXL-<-92-1-SPXL,573.7857975055624,4.590130413029854
